id_venda;data_venda;cliente;email;cidade;uf;produto;categoria;quantidade;preco_unitario;forma_pagamento;status_pedido
v0288;2025-02-06;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0241;2025-02-07;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0194;2025-02-08;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0147;2025-02-09;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0100;2025-02-10;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0053;2025-02-11;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0006;2025-02-12;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0289;2025-02-13;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0242;2025-02-14;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0195;2025-02-15;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0148;2025-02-16;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0101;2025-02-17;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0054;2025-02-18;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0007;2025-02-19;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0290;2025-02-20;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0243;2025-02-21;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0196;2025-02-22;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluído
v0149;2025-02-23;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0102;2025-02-24;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluído
v0055;2025-02-25;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluído
v0008;2025-02-26;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0244;2025-02-28;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0197;2025-03-01;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0150;2025-03-02;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0103;2025-03-03;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0056;2025-03-04;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0009;2025-03-05;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0292;2025-03-06;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0245;2025-03-07;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0198;2025-03-08;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0151;2025-03-09;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0104;2025-03-10;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0057;2025-03-11;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0010;2025-03-12;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0246;2025-03-14;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0199;2025-03-15;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0152;2025-03-16;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0105;2025-03-17;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0058;2025-03-18;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0011;2025-03-19;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0247;2025-03-21;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0200;2025-03-22;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0153;2025-03-23;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0106;2025-03-24;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0012;2025-03-26;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0248;2025-03-28;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0201;2025-03-29;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0154;2025-03-30;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0107;2025-03-31;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0060;2025-04-01;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0013;2025-04-02;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0202;2025-04-05;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0155;2025-04-06;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0108;2025-04-07;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0061;2025-04-08;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0014;2025-04-09;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0250;2025-04-11;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0203;2025-04-12;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0109;2025-04-14;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0062;2025-04-15;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluído
v0015;2025-04-16;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluído
v0251;2025-04-18;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0157;2025-04-20;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0110;2025-04-21;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0016;2025-04-23;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0252;2025-04-25;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0205;2025-04-26;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0158;2025-04-27;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0111;2025-04-28;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0064;2025-04-29;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0017;2025-04-30;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0253;2025-05-02;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0206;2025-05-03;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0159;2025-05-04;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0112;2025-05-05;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0065;2025-05-06;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0018;2025-05-07;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0254;2025-05-09;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0207;2025-05-10;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0160;2025-05-11;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0113;2025-05-12;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0066;2025-05-13;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0019;2025-05-14;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartão De Débito;cancelado
v0255;2025-05-16;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluído
v0208;2025-05-17;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0161;2025-05-18;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0114;2025-05-19;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0067;2025-05-20;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0020;2025-05-21;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0256;2025-05-23;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0209;2025-05-24;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0162;2025-05-25;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0115;2025-05-26;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0068;2025-05-27;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0021;2025-05-28;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0257;2025-05-30;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0210;2025-05-31;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0163;2025-06-01;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0116;2025-06-02;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluído
v0069;2025-06-03;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0022;2025-06-04;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluído
v0258;2025-06-06;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0211;2025-06-07;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0164;2025-06-08;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0070;2025-06-10;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0023;2025-06-11;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0259;2025-06-13;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartao Credito;cancelado
v0212;2025-06-14;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0165;2025-06-15;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0118;2025-06-16;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0071;2025-06-17;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0024;2025-06-18;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0260;2025-06-20;Ana Souza;ana.souza@email.com;São Paulo;SP;Cadeira Ergonômica;Móveis;1.0;1490.0;Pix;concluído
v0213;2025-06-21;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse Sem Fio;Acessórios;4.0;129.9;Cartão De Crédito;pendente
v0166;2025-06-22;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0119;2025-06-23;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0072;2025-06-24;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0025;2025-06-25;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0261;2025-06-27;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mouse Sem Fio;Acessórios;2.0;129.9;Cartão De Crédito;concluído
v0214;2025-06-28;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5.0;279.9;Boleto;cancelado
v0167;2025-06-29;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0120;2025-06-30;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0073;2025-07-01;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0026;2025-07-02;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0215;2025-07-05;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluído
v0168;2025-07-06;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;pendente
v0121;2025-07-07;Henrique Martins;henrique.martins@email.com;Curitiba;PR;Mesa Escritório;Móveis;2.0;899.9;Cartão De Crédito;concluído
v0074;2025-07-08;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Teclado Mecânico;Acessórios;5.0;389.5;Boleto;cancelado
v0027;2025-07-09;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Webcam;Eletrônicos;3.0;319.0;Cartão De Débito;concluído
v0263;2025-07-11;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0216;2025-07-12;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Cartao Credito;concluído
v0169;2025-07-13;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0122;2025-07-14;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0075;2025-07-15;Felipe Santos;felipe.santos@email.com;Recife;PE;Webcam;Eletrônicos;1.0;319.0;Cartão De Débito;concluído
v0028;2025-07-16;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Cadeira Ergonômica;Móveis;4.0;1490.0;Pix;pendente
v0264;2025-07-18;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0217;2025-07-19;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0170;2025-07-20;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0123;2025-07-21;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0076;2025-07-22;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluído
v0029;2025-07-23;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;cancelado
v0265;2025-07-25;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0171;2025-07-27;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0124;2025-07-28;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0077;2025-07-29;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0266;2025-08-01;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Teclado Mecânico;Acessórios;2.0;389.5;Boleto;concluído
v0219;2025-08-02;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartão De Débito;cancelado
v0172;2025-08-03;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0078;2025-08-05;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0031;2025-08-06;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
